Item,Type,StatusIndicators,State,Notes,Dependencies
ancestors_branches_totals_v0.3.csv,.csv,,Da valutare,Nessun file di stato rilevato; richiede triage manuale.,
ancestors_evo_pack_v1_3.zip,.zip,,Da valutare,Nessun file di stato rilevato; richiede triage manuale.,
ancestors_integration_pack_v0_1.zip,.zip,,Da valutare,Nessun file di stato rilevato; richiede triage manuale.,
ancestors_integration_pack_v0_2.zip,.zip,,Da valutare,Nessun file di stato rilevato; richiede triage manuale.,
ancestors_integration_pack_v0_3.zip,.zip,,Da valutare,Nessun file di stato rilevato; richiede triage manuale.,
ancestors_integration_pack_v0_4.zip,.zip,,Da valutare,Nessun file di stato rilevato; richiede triage manuale.,
ancestors_integration_pack_v0_5.zip,.zip,,Da valutare,Nessun file di stato rilevato; richiede triage manuale.,
ancestors_neuronal_v0_3.zip,.zip,,Da valutare,Nessun file di stato rilevato; richiede triage manuale.,
Ancestors_Neurons_Attack_Dodge_SelfControl_Ambulation_Partial_v0_6.csv,.csv,,Da valutare,Nessun file di stato rilevato; richiede triage manuale.,
ancestors_neurons_dump_v0.3__DEXTERITY.csv,.csv,,Da valutare,Nessun file di stato rilevato; richiede triage manuale.,
ancestors_neurons_dump_v0_6.zip,.zip,,Da valutare,Nessun file di stato rilevato; richiede triage manuale.,
ancestors_neurons_pack_v1_2.zip,.zip,,Da valutare,Nessun file di stato rilevato; richiede triage manuale.,
archive,directory,,Operativo,Indice archiviazione gestito da AG-Orchestrator; nessun intervento richiesto se non per nuovi spostamenti.,AG-Orchestrator (post-sync Incoming Review)
compat_map (1).json,.json,,Duplicato,Duplicato della mappa compatibilità; consolidare con compat_map.json per evitare divergenze.,
compat_map.json,.json,,Bloccato,Mappa alias STAT/EVENTI in bozza; richiede nomi canonici dal team Game prima di integrazione.,Team Engine (naming STAT/EVENTI)
decompressed,directory,README.md,Pronto,Area staging per archivi estratti; workflow incoming-smoke dipende da questa struttura.,Workflow incoming-smoke.yml
docs,directory,bioma_encounters.yaml; readme.md; readme_devkit.txt,Pronto,Codex documentale completo con template e script; pronto per import nei repo di documentazione.,Team Documentazione
engine_events.schema.json,.json,,Da valutare,Schema eventi; verificare coerenza con hook_bindings prima di uso.,Team Engine
Ennagramma,directory,README_ENNEAGRAMMA.md; enneagramma_dataset.json,Pronto,Dataset CSV completo con README e fonti; utilizzabile immediatamente.,
enneagramma_mechanics_registry.template.json,.json,,Bozza,Template registry meccanico; necessita allineamento con compat_map e hook reali.,Team Engine (hook/eventi)
et_alignment_scanner.zip,.zip,,Da valutare,Nessun file di stato rilevato; richiede triage manuale.,
evo-tactics-badlands-addon-v1.7.zip,.zip,,Da valutare,Nessun file di stato rilevato; richiede triage manuale.,
evo-tactics-badlands-ecosystem-it-v1.zip,.zip,,Da valutare,Nessun file di stato rilevato; richiede triage manuale.,
evo-tactics-final (1).zip,.zip,,Da valutare,Nessun file di stato rilevato; richiede triage manuale.,
evo-tactics-final.zip,.zip,,Da valutare,Nessun file di stato rilevato; richiede triage manuale.,
evo-tactics-interconnect-addon-v1.7.1.zip,.zip,,Da valutare,Nessun file di stato rilevato; richiede triage manuale.,
evo-tactics-merged.zip,.zip,,Da valutare,Nessun file di stato rilevato; richiede triage manuale.,
evo-tactics-normalized.zip,.zip,,Da valutare,Nessun file di stato rilevato; richiede triage manuale.,
evo-tactics-starter.zip,.zip,,Da valutare,Nessun file di stato rilevato; richiede triage manuale.,
evo-tactics-unified-pack-v1.9.zip,.zip,,Da valutare,Nessun file di stato rilevato; richiede triage manuale.,
evo-tactics-unified-plus-validators-v1.9.6.zip,.zip,,Da valutare,Nessun file di stato rilevato; richiede triage manuale.,
evo-tactics-unified-v1.9.7-ecosistema.zip,.zip,,Da valutare,Nessun file di stato rilevato; richiede triage manuale.,
evo-tactics-unified-v1.9.8-ecosistema-catalog.zip,.zip,,Da valutare,Nessun file di stato rilevato; richiede triage manuale.,
evo-tactics-unified-v2.0.0-site-tools.zip,.zip,,Da valutare,Nessun file di stato rilevato; richiede triage manuale.,
evo-tactics-unified-v2.0.1-site-tools.zip,.zip,,Da valutare,Nessun file di stato rilevato; richiede triage manuale.,
evo-tactics-validator-pack-v1.5.zip,.zip,,Da valutare,Nessun file di stato rilevato; richiede triage manuale.,
evo-tactics.zip,.zip,,Da valutare,Nessun file di stato rilevato; richiede triage manuale.,
evo_enneagram_addon_v1.zip,.zip,,Da valutare,Nessun file di stato rilevato; richiede triage manuale.,
evo_pacchetto_minimo.zip,.zip,,Da valutare,Nessun file di stato rilevato; richiede triage manuale.,
evo_pacchetto_minimo_v2.zip,.zip,,Da valutare,Nessun file di stato rilevato; richiede triage manuale.,
evo_pacchetto_minimo_v3.zip,.zip,,Da valutare,Nessun file di stato rilevato; richiede triage manuale.,
evo_pacchetto_minimo_v4.zip,.zip,,Da valutare,Nessun file di stato rilevato; richiede triage manuale.,
evo_pacchetto_minimo_v5.zip,.zip,,Da valutare,Nessun file di stato rilevato; richiede triage manuale.,
evo_pacchetto_minimo_v6.zip,.zip,,Da valutare,Nessun file di stato rilevato; richiede triage manuale.,
evo_pacchetto_minimo_v7.zip,.zip,,Da valutare,Nessun file di stato rilevato; richiede triage manuale.,
evo_pacchetto_minimo_v8.zip,.zip,,Da valutare,Nessun file di stato rilevato; richiede triage manuale.,
evo_sentience_branch_layout_v0_1.zip,.zip,,Da valutare,Nessun file di stato rilevato; richiede triage manuale.,
evo_sentience_rfc_pack_v0_1.zip,.zip,,Da valutare,Nessun file di stato rilevato; richiede triage manuale.,
evo_tactics_ancestors_repo_pack_v1.0 (1).zip,.zip,,Da valutare,Nessun file di stato rilevato; richiede triage manuale.,
evo_tactics_ancestors_repo_pack_v1.0.zip,.zip,,Da valutare,Nessun file di stato rilevato; richiede triage manuale.,
evo_tactics_badlands_IT.zip,.zip,,Da valutare,Nessun file di stato rilevato; richiede triage manuale.,
evo_tactics_badlands_PTPF_IT.zip,.zip,,Da valutare,Nessun file di stato rilevato; richiede triage manuale.,
evo_tactics_deduped_v8_1.zip,.zip,,Da valutare,Nessun file di stato rilevato; richiede triage manuale.,
evo_tactics_ecosystem_badlands.zip,.zip,,Da valutare,Nessun file di stato rilevato; richiede triage manuale.,
evo_tactics_ecosystems_pack.zip,.zip,,Da valutare,Nessun file di stato rilevato; richiede triage manuale.,
