biome_class,ecotype_id,ecotype_label,legacy_biome_affinity,legacy_default_slot_count,legacy_default_slots,legacy_species_id,legacy_trait_slugs_count,legacy_traits_missing_in_evo,mapped_trait_slugs_count,matched_legacy_biome_count,matched_legacy_biome_ids,matched_legacy_biome_labels,notes,sentience_index,shared_trait_slugs_count,species_scientific_name,species_slug,terraforming_band_slots,terraforming_max_slots,terraforming_stable_bands,trait_refs_count,trait_refs_missing_in_legacy,unknown_trait_refs,unresolved_ecosystems_count
acquatico_costiero,AGM-ECO1,Estuario Torbido,acquatico_costiero,10,locomotion;locomotion:burrower;metabolism;metabolism:sand_digest;offense;offense:sand_claws;defense;defense:heat_scales;senses;senses:echolocation,anguis_magnetica,5,,5,1,acquatico_costiero,Estuario Costiero Legacy,No direct ecosystem mapping for biome class,T1,5,Anguis magnetica,anguis_magnetica,0;1;2;3,3,3,5,,,0
acquatico_costiero,AGM-ECO2,Laguna Quieta,acquatico_costiero,10,locomotion;locomotion:burrower;metabolism;metabolism:sand_digest;offense;offense:sand_claws;defense;defense:heat_scales;senses;senses:echolocation,anguis_magnetica,5,,5,1,acquatico_costiero,Laguna Costiera Legacy,No direct ecosystem mapping for biome class,T1,5,Anguis magnetica,anguis_magnetica,0;1;2;3,3,3,5,,,0
terrestre_forestale,CHT-ECO1,Radura Acida,terrestre_forestale,10,locomotion;locomotion:burrower;metabolism;metabolism:sand_digest;offense;offense:sand_claws;defense;defense:heat_scales;senses;senses:echolocation,chemnotela_toxica,5,,5,1,foresta_temperata,Foresta Temperata Demo,,T1,5,Chemnotela toxica,chemnotela_toxica,0;1;2;3,3,3,5,,,0
terrestre_forestale,CHT-ECO2,Chioma Elettrofilo,terrestre_forestale,10,locomotion;locomotion:burrower;metabolism;metabolism:sand_digest;offense;offense:sand_claws;defense;defense:heat_scales;senses;senses:echolocation,chemnotela_toxica,5,,5,1,foresta_temperata,Foresta Temperata Demo,,T1,5,Chemnotela toxica,chemnotela_toxica,0;1;2;3,3,3,5,,,0
terrestre_roccioso,EHY-ECO1,Gole Ventose,terrestre_pianeggiante,10,locomotion;locomotion:burrower;metabolism;metabolism:sand_digest;offense;offense:sand_claws;defense;defense:heat_scales;senses;senses:echolocation,elastovaranus_hydrus,5,,5,1,badlands,Brulle Terre Ferrose,,T1,5,Elastovaranus hydrus,elastovaranus_hydrus,0;1;2;3,3,3,5,,,0
terrestre_umido,EHY-ECO2,Letti Fluviali,terrestre_pianeggiante,10,locomotion;locomotion:burrower;metabolism;metabolism:sand_digest;offense;offense:sand_claws;defense;defense:heat_scales;senses;senses:echolocation,elastovaranus_hydrus,5,,5,1,foresta_temperata,Foresta Temperata Demo,,T1,5,Elastovaranus hydrus,elastovaranus_hydrus,0;1;2;3,3,3,5,,,0
terrestre_forestale,GGS-ECO1,Chioma Umida,terrestre_roccioso,10,locomotion;locomotion:burrower;metabolism;metabolism:sand_digest;offense;offense:sand_claws;defense;defense:heat_scales;senses;senses:echolocation,gulogluteus_scutiger,5,,5,1,foresta_temperata,Foresta Temperata Demo,,T1,5,Gulogluteus scutiger,gulogluteus_scutiger,0;1;2;3,3,3,5,,,0
terrestre_forestale,GGS-ECO2,Forre Umide,terrestre_roccioso,10,locomotion;locomotion:burrower;metabolism;metabolism:sand_digest;offense;offense:sand_claws;defense;defense:heat_scales;senses;senses:echolocation,gulogluteus_scutiger,5,,5,1,foresta_temperata,Foresta Temperata Demo,,T1,5,Gulogluteus scutiger,gulogluteus_scutiger,0;1;2;3,3,3,5,,,0
sotterraneo,PFP-ECO1,Cavernicolo,sotterraneo,10,locomotion;locomotion:burrower;metabolism;metabolism:sand_digest;offense;offense:sand_claws;defense;defense:heat_scales;senses;senses:echolocation,perfusuas_pedes,5,,5,1,caverna,Caverna Legacy,Allineato a biome legacy sotterraneo,T3,5,Perfusuas pedes,perfusuas_pedes,0;1;2;3,3,3,5,,,0
terrestre_forestale,PFP-ECO2,Radura Notturna,sotterraneo,10,locomotion;locomotion:burrower;metabolism;metabolism:sand_digest;offense;offense:sand_claws;defense;defense:heat_scales;senses;senses:echolocation,perfusuas_pedes,5,,5,1,foresta_temperata,Foresta Temperata Demo,,T3,5,Perfusuas pedes,perfusuas_pedes,0;1;2;3,3,3,5,,,0
