trait_id,label_it,label_en,issue_type,notes
ali_fulminee,Ali Fulminee,Ali Fulminee,missing_translation,English label identical to Italian or trait_id
antenne_eco_turbina,Antenne Eco Turbina,Antenne Eco Turbina,missing_translation,English label identical to Italian or trait_id
antenne_flusso_mareale,Antenne Flusso Mareale,Antenne Flusso Mareale,missing_translation,English label identical to Italian or trait_id
antenne_microonde_cavernose,Antenne Microonde Cavernose,Antenne Microonde Cavernose,missing_translation,English label identical to Italian or trait_id
antenne_reagenti,Antenne Reagenti,Antenne Reagenti,missing_translation,English label identical to Italian or trait_id
antenne_tesla,Antenne Tesla,Antenne Tesla,missing_translation,English label identical to Italian or trait_id
antenne_waveguide,Antenne Waveguide,Antenne Waveguide,missing_translation,English label identical to Italian or trait_id
antenne_wideband,Antenne Wideband,Antenne Wideband,missing_translation,English label identical to Italian or trait_id
appendici_risonanti_marea,Appendici Risonanti Marea,Appendici Risonanti Marea,missing_translation,English label identical to Italian or trait_id
appendici_thermotattiche,Appendici Thermotattiche,Appendici Thermotattiche,missing_translation,English label identical to Italian or trait_id
artigli_acidofagi,Artigli Acidofagi,Artigli Acidofagi,missing_translation,English label identical to Italian or trait_id
artigli_induzione,Artigli Induzione,Artigli Induzione,missing_translation,English label identical to Italian or trait_id
artigli_radice,Artigli Radice,Artigli Radice,missing_translation,English label identical to Italian or trait_id
artigli_scivolo_silente,Artigli Scivolo Silente,Artigli Scivolo Silente,missing_translation,English label identical to Italian or trait_id
artigli_sghiaccio_glaciale,Artigli Sghiaccio Glaciale,Artigli Sghiaccio Glaciale,missing_translation,English label identical to Italian or trait_id
artigli_sghiaccio_glaciale,Artigli Sghiaccio Glaciale,Artigli Sghiaccio Glaciale,typo,"Potential typo ""sghiaccio"" instead of ""ghiaccio"""
artigli_vetrificati,Artigli Vetrificati,Artigli Vetrificati,missing_translation,English label identical to Italian or trait_id
baffi_mareomotori,Baffi Mareomotori,Baffi Mareomotori,missing_translation,English label identical to Italian or trait_id
barbigli_sensori_plasma,Barbigli Sensori Plasma,Barbigli Sensori Plasma,missing_translation,English label identical to Italian or trait_id
barriere_miasma_glaciale,Barriere Miasma Glaciale,Barriere Miasma Glaciale,missing_translation,English label identical to Italian or trait_id
batteri_endosimbionti_chemio,Batteri Endosimbionti Chemio,Batteri Endosimbionti Chemio,missing_translation,English label identical to Italian or trait_id
