profile,name_en,name_it,description
1w9,The Idealist,Il Moralista Pacifico,Fissa standard elevati con tono calmo e introspettivo; tende a evitare il conflitto diretto.
1w2,The Advocate,Il Riformatore Empatico,Combina rigore etico e desiderio di aiutare; più incline al mentoring operativo.
2w1,The Servant,Il Consigliere Morale,Supporta con disciplina e senso del dovere; enfatizza la cura responsabile.
2w3,The Host/Hostess,Il Carismatico,Alterna seduzione sociale e ambizione; orientato ai risultati e alla reputazione.
3w2,The Charmer,Il Diplomatico,Unisce capacità relazionali e drive competitivo; eccelle nelle presentazioni pubbliche.
3w4,The Professional,Il Creativo Strategico,Si concentra su immagine e autenticità; ricerca ruoli dove esprimere visione personale.
4w3,The Aristocrat,Il Drammaturgo,Intensità emotiva con desiderio di riconoscimento; usa l'estetica come leva narrativa.
4w5,The Bohemian,Il Ricercatore Artistico,Riflessivo e introspettivo; si affida a insight profondi per guidare scelte creative.
5w4,The Iconoclast,Lo Specialista Visionario,Integra analisi e sensibilità; produce soluzioni uniche e sperimentali.
5w6,The Problem Solver,Il Tecnico Affidabile,Orientato a sistemi e sicurezza; costruisce infrastrutture robuste e documentate.
6w5,The Defender,Il Custode Analitico,Unisce prudenza e logica; verifica procedure prima di autorizzare nuove tattiche.
6w7,The Buddy,Il Collaboratore Proattivo,Mix di lealtà e ottimismo; attiva piani di supporto collettivo in emergenza.
7w6,The Entertainer,Il Pianificatore Sociale,Spirito avventuroso moderato dalla ricerca di legami; eccelle nel coinvolgere i team.
7w8,The Realist,Il Visionario Imprenditivo,Proattivo e deciso; trasforma idee in prototipi rapidi con coraggio.
8w7,The Maverick,Il Condottiero Dinamico,Espansivo e sfidante; guida offensive audaci e team d'assalto.
8w9,The Bear,Il Protettore Pacificatore,Forza e calma; difende il gruppo mantenendo stabilità e negoziando tregue.
9w8,The Referee,Il Mediatore Deciso,Pacifica e protegge; interviene quando la pace è minacciata dall'esterno.
9w1,The Dreamer,Il Facilitatore Idealista,Mite e idealista; promuove armonia allineando valori e processi.
